numeroProcesso,numeroRegistro,nomeValorMobiliario,valorTotalInicial,valorTotalFinal,dataOferta,nomeTipoRequerimento,status,serie_nome,quantidadeAtivos,valorNominal,valorTotalLote,taxaRemuneracao,dataEmissao,dataVencimento,especie,avaliacaoRisco,remuneracaoFinal,amortizacao,incentivado,infraLei14801,resgateAntecipado
SRE/2533/2025,CVM/SRE/AUT/DEB/PRI/2025/656,Debêntures,"522.500.000,0000","522.500.000,0000",15/09/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Série Única,"522.500,0000","1.000,0000","522.500.000,0000","CDI + 1,90%a.a.",28/08/2025,28/08/2029,Garantia Real,NA,"CDI + 1,90%a.a.","O saldo do Valor Nominal Unitário deverá ser amortizado e pago pela Emissora mensalmente, após o período de 15 (quinze) meses (inclusive) que se inicia na Data de Emissão e se encerra na primeira Data de Pagamento de Principal (“Período de Carência”), de forma que a amortização do Valor Nominal Unitário passará a ser devida a partir do 16° (décimo sexto) mês, inclusive, contado da Data de Emissão, sempre no dia 28 de cada mês, sendo o primeiro pagamento em 28 de dezembro de 2026 e o último, na Data de Vencimento (“Data de Pagamento de Principal”)",Não,Não,Sim
SRE/1820/2025,CVM/SRE/AUT/DEB/PRI/2025/655,Debêntures,"300.000.000,0000","300.000.000,0000",12/09/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debêntures - série única,"300.000,0000","1.000,0000","300.000.000,0000","CDI + 1,85%",17/09/2025,17/09/2030,Quirografária,A- (bra),"CDI + 1,85%aa","Semestral, a partir do 24º mês (inclusive)",Não,Não,Sim
SRE/2275/2025,CVM/SRE/AUT/DEB/PRI/2025/648,Debêntures,"1.600.000.000,0000","1.600.000.000,0000",11/09/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debêntures 12.431,"800.000,0000","1.000,0000","800.000.000,0000","IPCA + 9,6588% a.a.",15/08/2025,15/08/2030,Garantia Real,,"IPCA + 9,6588%",Customizada,Sim,Não,Sim
SRE/2275/2025,CVM/SRE/AUT/DEB/PRI/2025/649,Debêntures,"1.600.000.000,0000","1.600.000.000,0000",11/09/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debêntures,"400.000,0000","1.000,0000","400.000.000,0000","CDI + 2,75% a.a.",15/08/2025,15/08/2032,Garantia Real,,"CDI + 2,75% a.a.",Customizada,Não,Não,Sim
SRE/2275/2025,CVM/SRE/AUT/DEB/PRI/2025/650,Debêntures,"1.600.000.000,0000","1.600.000.000,0000",11/09/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debêntures,"400.000,0000","1.000,0000","400.000.000,0000","CDI + 2,20% a.a.",15/08/2025,15/08/2030,Garantia Real,,"CDI + 2,20% a.a.",Customizada,Não,Não,Sim
SRE/2623/2025,CVM/SRE/AUT/DEB/PRI/2025/647,Debêntures,"1.000.000.000,0000","1.000.000.000,0000",11/09/2025,OPD Aut Profissional - com bookbuilding - EGEM ou EFRF,Oferta Encerrada,Série Única,"1.000.000,0000","1.000,0000","1.000.000.000,0000","CDI + 0,60% a.a.",12/09/2025,12/09/2035,Quirografária,,"100% (cem por cento) da variação acumulada da Taxa DI, acrescida de sobretaxa equivalente a 0,60% ao ano","em 4 (quatro) parcelas anuais e consecutivas, no 7º (sétimo), 8º (oitavo), 9º (nono) e 10º (décimo) anos contados da Data de Emissão",Não,Não,Sim
SRE/2610/2025,CVM/SRE/AUT/DEB/PRI/2025/646,Debêntures,"1.500.000.000,0000","1.500.000.000,0000",10/09/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Debêntures,"1.500.000,0000","1.000,0000","1.500.000.000,0000","CDI + 1,24%",09/09/2025,09/09/2032,Quirografária,AAA,"CDI + 1,24%","3 (três) parcelas anuais e consecutivas, sendo 20% em 9 de setembro de 2030, 50% em 9 de setembro de 2031 e 100% na Data de Vencimento",Não,Não,Sim
SRE/2549/2025,CVM/SRE/AUT/DEB/PRI/2025/645,Debêntures,"150.000.000,0000","150.000.000,0000",08/09/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,"6ª emissão, série única","150.000,0000","1.000,0000","150.000.000,0000","IPCA + 8,4942% ao ano",05/09/2025,15/09/2035,Quirografária,“brA+” atribuído pela S&P,"IPCA + 8,4942% ao ano","Anual, sendo que a primeira parcela será devida em 15 de setembro de 2032 e a última na Data de Vencimento, conforme tabela prevista na Escritura",Sim,Não,Sim
SRE/2568/2025,CVM/SRE/AUT/DEB/PRI/2025/642,Debêntures,"250.000.000,0000","250.000.000,0000",05/09/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debêntures - série única,"250.000,0000","1.000,0000","250.000.000,0000","IPCA + 7,3239% a.a.",15/08/2025,15/08/2037,Quirografária,AAA,"IPCA + 7,3239% a.a.","Anual, no 9°,  10°,11° e 12° anos",Sim,Não,Sim
SRE/2570/2025,CVM/SRE/AUT/DEB/PRI/2025/641,Debêntures,"250.000.000,0000","250.000.000,0000",05/09/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debêntures série única,"250.000,0000","1.000,0000","250.000.000,0000","IPCA + 7,3239% a.a.",15/08/2025,15/08/2037,Quirografária,AAA,"IPCA + 7,3239% a.a.","Anual, no 9°, 10°,11° e 12° anos",Sim,Não,Sim
SRE/2571/2025,CVM/SRE/AUT/DEB/PRI/2025/639,Debêntures,"1.500.000.000,0000","1.500.000.000,0000",05/09/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Debêntures - 1a série,"750.000,0000","1.000,0000","750.000.000,0000","IPCA + 7,3239% a.a.",15/08/2025,15/08/2037,Quirografária,AAA,"IPCA + 7,3239% a.a.","Anual, no 9°, 10°,11° e 12° anos",Sim,Não,Sim
SRE/2571/2025,CVM/SRE/AUT/DEB/PRI/2025/640,Debêntures,"1.500.000.000,0000","1.500.000.000,0000",05/09/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Debêntures - 2a série,"750.000,0000","1.000,0000","750.000.000,0000","IPCA + 7,3239% a.a.",15/08/2025,15/08/2037,Quirografária,AAA,"IPCA + 7,3239% a.a.","Anual, no 9°, 10°,11° e 12° anos",Sim,Não,Sim
SRE/2592/2025,CVM/SRE/AUT/DEB/PRI/2025/638,Debêntures,"400.000.000,0000","400.000.000,0000",04/09/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Debenture,"400.000,0000","1.000,0000","400.000.000,0000","CDI + 1,25% a.a.",22/08/2025,22/02/2033,Quirografária,A ser atribuida,"Sobre o Valor Nominal Unitário ou saldo do Valor Nominal Unitário das Debêntures, incidirão juros remuneratórios correspondentes à variação acumulada de 100% das taxas médias diárias do DI de um dia expressas na forma percentual ao ano, base 252 Dias Úteis, calculadas, no informativo diário disponível em sua página na Internet (www.b3.com.br), acrescida, exponencialmente, do spread ou sobretaxa equivalente a (i) 1,25% ao ano, base 252 Dias; e, (ii) caso aplicável, o Step Up da Remuneração conforme definido na Escritura de Emissão",2 parcelas anuais consecutivas,Não,Não,Sim
SRE/2429/2025,CVM/SRE/AUT/DEB/PRI/2025/636,Debêntures,"300.000.000,0000","300.000.000,0000",04/09/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Debêntures,"300.000,0000","1.000,0000","300.000.000,0000","CDI + 0,70%",27/08/2025,27/08/2030,Quirografária,Fitch,"CDI + 0,70%",Anual em duas parcelas no valor de 50% do saldo devedor sendo a primeira em 27/08/2029 e a segunda no vencimento da escritura,Não,Não,Sim
SRE/2668/2025,CVM/SRE/AUT/DEB/PRI/2025/635,Debêntures,"85.000.000,0000","85.000.000,0000",03/09/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Série Única,"85.000,0000","1.000,0000","85.000.000,0000","CDI + 1,99%",15/08/2025,15/08/2031,Quirografária,N/A,"CDI + 1,99%","A partir do 21º (vigésimo primeiro) mês (inclusive) contado da Data de Emissão, o saldo do Valor Nominal Unitário será amortizado trimestralmente, em parcelas consecutivas, a serem pagas sempre no dia 15 (quinze) dos meses de agosto, novembro, fevereiro e maio de cada ano, sendo o primeiro pagamento em 15 (quinze) de maio de 2027 e o último, na Data de Vencimento.",Não,Não,Sim
SRE/2514/2025,CVM/SRE/AUT/DEB/PRI/2025/634,Debêntures,"650.000.000,0000","536.004.000,0000",03/09/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,série única,"536.004,0000","1.000,0000","536.004.000,0000","CDI + 0,65% a.a.",04/09/2025,04/09/2030,Quirografária,,"100% (cem por cento) da variação acumulada das taxas médias diárias dos DI - Depósitos Interfinanceiros de um dia, “over extra-grupo”, expressas na forma percentual ao ano, base 252, acrescida exponencialmente de spread (sobretaxa) equivalente a 0,65% ao ano, base 252 Dias Úteis, calculados de forma exponencial e cumulativa pro rata temporis por Dias Úteis decorridos, incidentes sobre o Valor Nominal Unitário ou saldo do Valor Nominal Unitário das Debêntures, conforme o caso, desde a Data de Início da Rentabilidade ou a Data de Pagamento da Remuneração das Debêntures","saldo do Valor Nominal Unitário das Debêntures será amortizado em 2 (duas) parcelas anuais e consecutivas, sendo o primeiro pagamento devido em 4 de setembro de 2029, e o último pagamento devido na Data de Vencimento",Não,Não,Sim
SRE/2588/2025,CVM/SRE/AUT/DEB/PRI/2025/633,Debêntures,"370.000.000,0000","370.000.000,0000",02/09/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Série única,"370.000,0000","1.000,0000","370.000.000,0000","DI+0,38% a.a.",03/09/2025,03/09/2028,Quirografária,n/a,"DI+0,38% a.a.",no vencimento (bullet),Não,Não,Sim
SRE/2585/2025,CVM/SRE/AUT/DEB/PRI/2025/629,Debêntures,"3.955.000.000,0000","3.955.000.000,0000",02/09/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,1ª Série,"2.050.000,0000","1.000,0000","2.050.000.000,0000","8,3702% a.a",15/08/2025,15/12/2047,Garantia Real,BrAA+,,Customizada,Sim,Não,Sim
SRE/2585/2025,CVM/SRE/AUT/DEB/PRI/2025/630,Debêntures,"3.955.000.000,0000","3.955.000.000,0000",02/09/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,2ª Série,"300.000,0000","1.000,0000","300.000.000,0000","8,3702% a.a",15/08/2025,15/12/2047,Garantia Real,BrAA+,,Customizada,Sim,Não,Sim
SRE/2585/2025,CVM/SRE/AUT/DEB/PRI/2025/631,Debêntures,"3.955.000.000,0000","3.955.000.000,0000",02/09/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,3ª Série,"665.000,0000","1.000,0000","665.000.000,0000","8,3000% a.a",15/08/2025,15/12/2047,Garantia Real,BrAA+,,Customizada,Sim,Não,Sim
SRE/2585/2025,CVM/SRE/AUT/DEB/PRI/2025/632,Debêntures,"3.955.000.000,0000","3.955.000.000,0000",02/09/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,4ª Série,"940.000,0000","1.000,0000","940.000.000,0000","8,3000% a.a",15/08/2025,15/12/2047,Garantia Real,BrAA+,,Customizada,Sim,Não,Sim
SRE/2579/2025,CVM/SRE/AUT/DEB/PRI/2025/627,Debêntures,"225.000.000,0000","225.000.000,0000",02/09/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Registro Concedido,Debêntures - 1ª série,"150.000,0000","1.000,0000","150.000.000,0000",,28/08/2025,28/08/2030,Quirografária,,"CDI + 1,48% a.a.","Semestral, após 24 meses de carência",Não,Não,Sim
SRE/2579/2025,CVM/SRE/AUT/DEB/PRI/2025/628,Debêntures,"225.000.000,0000","225.000.000,0000",02/09/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Registro Concedido,Debêntures - 2ª série,"75.000,0000","1.000,0000","75.000.000,0000",,28/08/2025,28/08/2030,Quirografária,,"CDI + 1,48% a.a.","Semestral, após 24 meses de carência",Não,Não,Sim
SRE/2629/2025,CVM/SRE/AUT/DEB/PRI/2025/626,Debêntures,"500.000.000,0000","500.000.000,0000",01/09/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Debêntures,"500.000,0000","1.000,0000","500.000.000,0000","CDI + 1,30% a.a.",20/08/2025,20/08/2032,Quirografária,N/a,"CDI + 1,30% a.a.","Anual, a partir do 4º (quarto) ano (inclusive)",Não,Não,Sim
SRE/2708/2025,CVM/SRE/AUT/DEB/PRI/2025/625,Debêntures,"80.000.000,0000","0,0000",01/09/2025,OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debênture,,,,,,,,,,,,,
SRE/2697/2025,Em andamento,Debêntures,"360.000.000,0000","0,0000",31/08/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Aguardando Bookbuilding,Debêntures - 1ª Série,,,,,,,,,,,,,
SRE/2697/2025,Em andamento,Debêntures,"360.000.000,0000","0,0000",31/08/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Aguardando Bookbuilding,Debêntures - 2ª Série,,,,,,,,,,,,,
SRE/2608/2025,CVM/SRE/AUT/DEB/PRI/2025/623,Debêntures,"600.000.000,0000","600.000.000,0000",29/08/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Primeira Série,"500.000,0000","1.000,0000","500.000.000,0000","CDI + 1,18%a.a.",27/08/2025,27/08/2031,Quirografária,,"CDI + 1,18%a.a.",Ao final do 5º e 6º anos,Não,Não,Sim
SRE/2608/2025,CVM/SRE/AUT/DEB/PRI/2025/624,Debêntures,"600.000.000,0000","600.000.000,0000",29/08/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Segunda Série,"100.000,0000","1.000,0000","100.000.000,0000","CDI + 1,28%a.a.",27/08/2025,27/08/2032,Quirografária,,"CDI + 1,28%a.a.",Ao final do 6º e 7º anos,Não,Não,Sim
SRE/2683/2025,CVM/SRE/AUT/DEB/PRI/2025/622,Debêntures,"6.200.000,0000","0,0000",29/08/2025,OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado,Oferta Encerrada,1ª Série,,,,,,,,,,,,,
SRE/2670/2025,Em andamento,Debêntures,"550.000.000,0000","0,0000",28/08/2025,OPD Aut Profissional - com bookbuilding,Aguardando Bookbuilding,1ª SERIE,,,,,,,,,,,,,
SRE/2670/2025,Em andamento,Debêntures,"550.000.000,0000","0,0000",28/08/2025,OPD Aut Profissional - com bookbuilding,Aguardando Bookbuilding,2ª SERIE,,,,,,,,,,,,,
SRE/2670/2025,Em andamento,Debêntures,"550.000.000,0000","0,0000",28/08/2025,OPD Aut Profissional - com bookbuilding,Aguardando Bookbuilding,3A SERIE,,,,,,,,,,,,,
SRE/2589/2025,CVM/SRE/AUT/DEB/PRI/2025/621,Debêntures,"210.000.000,0000","210.000.000,0000",28/08/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debêntures,"210.000,0000","1.000,0000","210.000.000,0000",,21/08/2025,21/08/2030,Garantia Real,,"100% do DI + 6,00% a.a.",48 parcelas mensais após 12 mes,Não,Não,Sim
SRE/2565/2025,CVM/SRE/AUT/DEB/PRI/2025/620,Debêntures,"160.000.000,0000","160.000.000,0000",28/08/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Debêntures | Série Única,"160.000,0000","1.000,0000","160.000.000,0000","CDI + 0,55% a.a.",15/08/2025,15/08/2030,Quirografária,,"CDI + 0,55%a.a.","Anual, a partir de 15 de agosto de 2028 (inclusive)",Não,Não,Sim
SRE/2616/2025,CVM/SRE/AUT/DEB/PRI/2025/619,Debêntures,"790.000.000,0000","790.000.000,0000",28/08/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Debêntures,"790.000,0000","1.000,0000","790.000.000,0000","CDI + 3,70% a.a.",25/08/2025,25/08/2032,Quirografária,"Fitch Ratings Brasil Ltda., que atribuirá rating às Debêntures, observado que a Emissora deverá obter o primeiro relatório de classificação de risco (rating) das Debêntures em até 75 (setenta e cinco) dias corridos contados da Data de Emissão","CDI + 3,70% a.a.","Amortização em 28 (vinte e oito) parcelas trimestrais e consecutivas, a partir da Data de Emissão, devidas sempre no dia 25 (vinte e cinco) dos meses de fevereiro, maio, agosto e novembro de cada ano, sendo que a primeira parcela será devida em 25 de novembro de 2025 e as demais parcelas serão devidas em cada uma das respectivas datas de amortização das Debêntures, de acordo com as datas indicadas na Escritura",Não,Não,Sim
SRE/2537/2025,CVM/SRE/AUT/DEB/PRI/2025/618,Debêntures,"125.000.000,0000","125.000.000,0000",28/08/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Debêntures,"125.000,0000","1.000,0000","125.000.000,0000","100% do DI + 2,50%a.a.",28/08/2025,28/08/2029,Garantia Real,Não há.,"100% do DI + 2,50%a.a. A remuneração será paga semestralmente, a partir da Data de Emissão até a Data de Vencimento, sendo que o primeiro pagamento ocorrerá no dia 28 de fevereiro de 2026.","O saldo do Valor Nominal Unitário das Debêntures será pago semestralmente, a partir do 24º (vigésimo quarto) (inclusive) contados da Data de Emissão.",Não,Não,Sim
SRE/2457/2025,CVM/SRE/AUT/DEB/PRI/2025/617,Debêntures,"600.000.000,0000","600.000.000,0000",28/08/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Debêntures,"600.000,0000","1.000,0000","600.000.000,0000","CDI + 1,25% a.a.",15/08/2025,15/08/2030,Quirografária,Standard & Poor’s Ratings do Brasil Ltda.,"Sobre o Valor Nominal Unitário ou saldo do Valor Nominal Unitário das Debêntures, conforme o caso, incidirão juros remuneratórios correspondentes a 100% da variação acumulada das taxas médias diárias dos Depósitos Interfinanceiros – DI de um dia, “over extra grupo”, calculadas e divulgadas diariamente pela B3, no Informativo Diário, disponível em sua página na Internet, expressa na forma percentual ao ano, base 252 Dias Úteis, acrescida exponencialmente de sobretaxa (spread) equivalente a 1,25% ao ano, base 252 Dias Úteis.","Ressalvadas as hipóteses de resgate antecipado das Debêntures ou vencimento antecipado das obrigações decorrentes das Debêntures, o saldo do Valor Nominal Unitário das Debêntures será amortizado em 2 (duas) parcelas anuais consecutivas, sendo o primeiro pagamento devido em 15 de agosto de 2029, e o último pagamento devido na Data de Vencimento",Não,Não,Sim
SRE/2548/2025,CVM/SRE/AUT/DEB/PRI/2025/616,Debêntures,"277.000.000,0000","277.000.000,0000",27/08/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,DEBÊNTURES SIMPLES,"277.000,0000","1.000,0000","277.000.000,0000",,18/08/2025,17/10/2025,Quirografária,,"Sobre o Valor Nominal Unitário incidirão juros remuneratórios correspondentes à variação acumulada de 100% (cem por cento) das taxas médias diárias do DI – Depósito Interfinanceiro de um dia, “over extra-grupo”, expressas na forma percentual ao ano, base 252 (duzentos e cinquenta e dois) Dias Úteis, calculadas e divulgadas diariamente pela B3 (“Taxa DI”), acrescida de spread (sobretaxa) de 0,30% (trinta centésimos por cento) ao ano, base 252 (duzentos e cinquenta e dois) Dias Úteis","Ressalvadas as hipóteses de vencimento antecipado das obrigações decorrentes das Debêntures, Resgate Antecipado Facultativo, Resgate Antecipado Obrigatório ou Aquisição Facultativa, o Valor Nominal Unitário das Debêntures, será amortizado em uma única data, qual seja, na Data de Vencimento.",Não,Não,Sim
SRE/2547/2025,CVM/SRE/AUT/DEB/PRI/2025/615,Debêntures,"323.000.000,0000","323.000.000,0000",27/08/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,DEBÊNTURES SIMPLES,"323.000,0000","1.000,0000","323.000.000,0000",,18/08/2025,17/10/2025,Quirografária,,"sobre o Valor Nominal Unitário incidirão juros remuneratórios correspondentes à variação acumulada de 100% (cem por cento) das taxas médias diárias do DI – Depósito Interfinanceiro de um dia, “over extra-grupo”, expressas na forma percentual ao ano, base 252 (duzentos e cinquenta e dois) Dias Úteis, calculadas e divulgadas diariamente pela B3 (“Taxa DI”), acrescida de spread (sobretaxa) de 0,30% (trinta centésimos por cento) ao ano, base 252 (duzentos e cinquenta e dois) Dias Úteis","Ressalvadas as hipóteses de vencimento antecipado das obrigações decorrentes das Debêntures, Resgate Antecipado Facultativo, Resgate Antecipado Obrigatório ou Aquisição Facultativa, o Valor Nominal Unitário das Debêntures, será amortizado em uma única data, qual seja, na Data de Vencimento.",Não,Não,Sim
SRE/2309/2025,CVM/SRE/AUT/DEB/PRI/2025/613,Debêntures,"600.000.000,0000","600.000.000,0000",27/08/2025,OPD Aut Público em Geral ou Qualificado - com bookbuilding,Oferta Encerrada,Debêntures Série 1,"300.000,0000","1.000,0000","300.000.000,0000","IPCA + 6,7929%",15/08/2025,15/08/2035,Quirografária,,"IPCA + 6,7929%",Bullet,Sim,Não,Sim
SRE/2309/2025,CVM/SRE/AUT/DEB/PRI/2025/614,Debêntures,"600.000.000,0000","600.000.000,0000",27/08/2025,OPD Aut Público em Geral ou Qualificado - com bookbuilding,Oferta Encerrada,Debêntures Série 2,"300.000,0000","1.000,0000","300.000.000,0000","IPCA + 6,7392%",05/08/2025,15/08/2040,Quirografária,,"IPCA + 6,7392%","Anual, ao final do 13º, 14º e 15º anos.",Sim,Não,Sim
